,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
2093518,a3e3cea9f2e314,c9f6eaa81245b5,a3d8693390584c,0,0,25.93,0,0,0,84,1437,0,0,0.0,1403,squad-fpp,31,29,-1,0,0.0,0,0.0,0,0,151.3,1,1525,0.0667
3701672,43e4be7ad72cc7,521836de101ee8,b65de9055327e0,0,0,36.71,0,0,0,57,1225,0,0,0.0,1971,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,1918.0,7,1516,0.5862
2059784,9a68690e31fdff,4a72ffa2cebd90,d6aad3f9830e60,0,1,47.73,0,0,0,50,0,0,0,0.0,1741,solo-fpp,96,89,1516,0,4088.0,0,0.0,0,0,820.0,7,0,0.8105
1302036,b147e1bd448fc4,9a8991656b3fea,d931c0932d8aca,0,0,0.0,0,0,0,56,1286,0,0,0.0,1738,squad-fpp,28,27,-1,1,0.0,0,0.0,0,0,38.81,0,1515,0.5556
297180,d818b4edd59612,eece87c8b846b3,ec2b5ed94baae3,0,2,100.0,0,0,3,31,0,1,1,7.737,2193,solo,99,95,1482,0,918.4,0,0.0,0,0,1721.0,5,0,0.6429
2862125,e705cb7a4446ea,9d7180a567d020,b146588581df18,0,0,0.0,0,0,0,59,0,0,0,0.0,1358,solo-fpp,94,90,1503,0,0.0,0,0.0,0,0,446.0,3,0,0.4946
365937,e253262031e08f,e5df2dcdaf3f4b,c1385ae84655e6,0,0,0.0,0,0,0,81,0,0,0,0.0,1497,solo-fpp,99,98,1464,0,0.0,0,0.0,0,0,45.86,1,0,0.1939
3651102,c264a5ce0d4ca1,0efbbf391d7f62,b280791eb7a3fd,0,8,170.2,0,0,1,25,0,1,1,32.96,1968,solo-fpp,97,94,1544,0,0.0,0,221.0,0,0,3297.0,5,0,0.9688
2363197,342437cd2b5680,7acbacbed1b711,99cbf12f555f61,0,2,338.7,2,0,15,6,0,4,2,14.23,1989,duo,47,45,1492,1,3349.0,0,0.0,0,0,1846.0,5,0,0.7174
271498,3cf3cc81325a37,537c4bd393dcff,38a8b94623d77d,2,1,230.8,2,0,1,8,0,3,2,174.5,1373,squad-fpp,32,30,1449,0,0.0,0,0.0,0,0,3781.0,5,0,0.8387
2329569,cf3fc190ef0636,9ab58287ac919e,2b13e071d8c637,0,0,0.0,0,0,0,96,1000,0,0,0.0,1376,duo-fpp,49,49,-1,0,0.0,0,0.0,0,0,34.03,1,1500,0.0208
2748178,e623835ca5d21d,6316b093b9ecbe,895de0a11d38c9,0,0,23.22,0,0,0,85,0,0,0,0.0,2068,squad-fpp,28,27,1500,0,0.0,0,0.0,0,0,360.2,2,0,0.0741
2282301,d7c5c1a1bd918a,e2029475901d30,1a2af48f98525c,0,0,0.0,0,0,0,63,0,0,0,0.0,1823,solo-fpp,98,94,1502,0,0.0,0,0.0,0,0,1177.0,4,0,0.4536
950009,0bcc4efeade33f,ae841837835a89,4ae66868f61da3,0,0,100.0,1,0,0,88,0,0,0,0.0,1905,squad-fpp,28,25,1410,0,0.0,0,0.0,0,0,94.7,2,0,0.037
414480,f842ff43c8f9ad,864a3a2466261f,4d7116c9b9a2b2,0,0,0.0,0,0,0,91,0,0,0,0.0,1871,squad-fpp,28,27,1520,0,0.0,0,0.0,0,0,0.0,1,0,0.0
2620592,4b5dcd20c7810c,7c9f91decbf708,f8e9b98338c0da,0,0,0.0,0,0,0,95,0,0,0,0.0,1439,squad,29,28,1479,0,0.0,0,0.0,0,0,10.05,1,0,0.0
1020408,681756a82a8567,60bcf075484413,cfe91f6f964f80,0,0,17.55,0,0,0,91,993,0,0,0.0,1381,squad-fpp,27,26,-1,0,0.0,0,0.0,0,0,146.7,2,1489,0.0
421860,864943a1ad0e67,7dbd019271daf8,39f290e85e9cd1,0,0,0.0,0,0,0,87,0,0,0,0.0,1382,duo-fpp,50,47,1451,0,0.0,0,0.0,0,0,92.27,0,0,0.102
893884,cd66f4def42850,b4ec6ac08989f8,daa7b148b9e29d,0,0,133.7,1,0,0,80,0,0,0,0.0,1798,duo-fpp,47,45,1500,0,0.0,0,0.0,0,0,74.53,2,0,0.1087
3326034,129a839a443099,0d5f1c9f9a7cce,197cb0812e83b8,0,0,100.0,1,0,0,67,0,0,0,0.0,1222,duo-fpp,47,43,1522,0,0.0,0,0.0,0,0,198.5,1,0,0.3478
3767124,56d6949b3d643d,27f4292af663d1,afb05e37d884fc,0,1,243.9,2,0,1,57,1347,0,0,0.0,1799,squad,31,29,-1,0,0.0152,0,28.39,0,0,9273.0,6,1508,0.7333
1391598,a78f18848550a2,195a30af54412f,9ac74b44f9da61,0,0,43.98,1,0,0,36,0,1,1,71.81,1315,squad-fpp,28,28,1376,0,0.0,0,0.0,0,0,257.8,2,0,0.4444
1861760,8ce910a270c624,01f3f60d62612c,69d619361cfc04,0,0,206.6,0,0,2,17,1146,2,1,137.4,1410,duo-fpp,48,46,-1,0,0.0,0,0.0,1,0,1067.0,6,1508,0.6383
2281893,fb4820bfb8dcd2,c0ab52f7a902f7,a04d064c6573f1,2,0,718.0,0,3,4,11,0,5,2,209.1,1185,normal-squad-fpp,4,3,1500,0,0.0,0,0.0,0,0,91.91,30,0,1.0
1670186,a5b20e86171dd4,40ae649de9221b,0d9888f4645e60,0,0,200.0,2,0,0,43,1270,1,1,8.968,1347,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,18.68,1,1446,0.0741
