User_ID,K_Shell,Out_Degree,Reposts,Replies,Mentions,Favorites,Interest_Topic,Bio_Content,Profile_Likes,User_Games,Verified_Status,Posts_on_Topic,Bonus,Unique_Pageviews,Scroll_Depth_Percent,Timestamp,Impressions,Engagement_Per_Impression
User_1,2.49816047538945,47,4,16,14,145,0.631375326048251,0,235,18,0,52,0.12262804997800658,408,74.61433212603126,2023-01-01 00:00:00,731,0.17586296959367215
User_2,4.802857225639665,12,83,11,8,154,0.4263983568016225,0,25,14,0,3,0.4334636997331237,62,76.85393514263792,2023-01-01 01:00:00,831,0.6580284469104113
User_3,3.9279757672456204,16,64,5,4,54,0.548145202728022,1,71,18,0,78,0.39672760046838584,481,14.576857195036585,2023-01-01 02:00:00,145,0.23261748941506477
User_4,3.3946339367881464,24,29,25,12,181,0.17464718589632955,0,260,5,0,16,0.9380538535539297,201,29.901093660011348,2023-01-01 03:00:00,335,0.2439666257208888
User_5,1.624074561769746,19,20,26,22,119,0.2959320294366161,1,253,9,1,66,0.15313480060440388,456,34.68356651430098,2023-01-01 04:00:00,147,0.11280540135624939
User_6,1.6239780813448106,8,83,7,25,74,0.6638244748527251,1,270,3,1,73,0.009846825012010951,485,59.285078572852846,2023-01-01 05:00:00,297,0.8038810131612488
User_7,1.2323344486727978,31,69,18,17,20,0.9653027236303998,1,122,8,0,46,0.23808521280711759,89,23.006370151625525,2023-01-01 06:00:00,183,0.831066449881133
User_8,4.46470458309974,21,21,41,29,171,0.0504167736022092,1,143,10,0,55,0.8202768597686545,25,22.054709746000032,2023-01-01 07:00:00,642,0.24582017472799575
User_9,3.404460046972835,17,81,0,29,132,0.8903843208552661,1,256,19,1,22,0.20932181604701705,369,94.94100002871622,2023-01-01 08:00:00,260,0.765571990840502
User_10,3.832290311184182,23,71,28,4,86,0.5768812013112085,1,143,3,1,17,0.2408780637054827,496,82.37826165680029,2023-01-01 09:00:00,527,0.49019061084162363
User_11,1.0823379771832098,37,31,44,24,168,0.5639195667556237,0,420,11,1,0,0.1298988045368108,335,26.258941188205327,2023-01-01 10:00:00,170,0.3156353946688522
User_12,4.879639408647977,16,32,48,15,58,0.5002785352077603,1,258,11,1,34,0.7154362032765404,203,46.59110271149419,2023-01-01 11:00:00,619,0.659246147266446
User_13,4.329770563201687,6,15,34,26,88,0.06939408590418339,1,435,17,1,63,0.06917419050541718,150,42.005979933180896,2023-01-01 12:00:00,997,0.26063566691237633
User_14,1.8493564427131046,8,75,39,18,181,0.08987685173616067,0,46,16,0,57,0.3312083023285216,117,81.19036666588666,2023-01-01 13:00:00,151,0.7811952468877319
User_15,1.7272998688284025,25,37,13,13,149,0.6009120056590861,1,350,7,0,94,0.28249872662096454,312,55.91916248303099,2023-01-01 14:00:00,144,0.14285370481349655
User_16,1.7336180394137353,18,97,34,24,82,0.3409585714355583,0,12,4,1,58,0.5551597297901548,274,21.50647632941203,2023-01-01 15:00:00,392,0.963217839635123
User_17,2.216968971838151,25,13,47,29,64,0.9172680665776807,1,375,19,1,0,0.7304162650197356,456,76.50928568406195,2023-01-01 16:00:00,911,0.16468772833776202
User_18,3.0990257265289514,12,35,44,15,63,0.40659053735947226,0,207,12,0,2,0.5328764346967474,299,45.7199180402427,2023-01-01 17:00:00,564,0.6215035773238208
User_19,2.727780074568463,15,96,19,26,70,0.14328145870264108,0,310,15,1,66,0.9310259929750676,218,33.66318228689323,2023-01-01 18:00:00,984,0.9119748611101407
User_20,2.1649165607921677,26,22,48,14,3,0.714718833502036,1,234,11,0,36,0.9514426388873319,484,43.79487598186481,2023-01-01 19:00:00,649,0.11071402196306532
User_21,3.447411578889518,41,65,12,21,192,0.29335342144100984,1,148,5,0,82,0.3614653284985154,422,54.79809072462067,2023-01-01 20:00:00,966,0.5486630148901513
User_22,1.5579754426081673,45,84,37,3,142,0.5254703073558932,1,321,5,0,28,0.7776803762748927,174,40.88039647753085,2023-01-01 21:00:00,479,0.4150062678796119
User_23,2.1685785941408726,26,1,48,6,103,0.69783278550517,1,437,15,0,88,0.7388013832681897,436,31.771519533258203,2023-01-01 22:00:00,842,0.6222989712321182
User_24,2.465447373174767,47,90,45,15,149,0.9002641112020704,0,154,18,1,32,0.8929645917048273,351,45.86518259235823,2023-01-01 23:00:00,577,0.3029116480638928
User_25,2.8242799368681437,32,72,48,23,174,0.7921911948016761,0,165,11,1,99,0.4479436402077033,380,11.725561967490842,2023-01-02 00:00:00,361,0.1584092955085523
User_26,4.140703845572054,10,64,7,21,92,0.6763610678727241,0,89,12,0,60,0.5304731871977922,329,79.52480614866825,2023-01-02 01:00:00,679,0.6633397331638362
User_27,1.798695128633439,16,74,42,20,173,0.6796331823951436,1,185,2,1,92,0.415774313581574,161,25.38504042108272,2023-01-02 02:00:00,278,0.47516431554406224
User_28,3.0569377536544464,7,66,19,21,141,0.9459246440320865,0,317,15,1,89,0.8503769192997056,464,13.951415226757351,2023-01-02 03:00:00,456,0.6602369848356067
User_29,3.36965827544817,17,51,32,20,177,0.29582409749653604,1,357,4,1,3,0.22970231536213437,299,68.83288236145714,2023-01-02 04:00:00,518,0.28948523215405864
User_30,1.185801650879991,23,61,25,7,147,0.0011120941961874076,1,173,18,1,13,0.2397090782424447,441,79.6542515941305,2023-01-02 05:00:00,797,0.4048671366581337
User_31,3.4301794076057535,26,22,38,16,177,0.2719545593981987,0,216,6,0,90,0.37260510357707977,277,83.24462184335589,2023-01-02 06:00:00,300,0.6055132504281493
User_32,1.6820964947491661,21,25,20,15,111,0.217891379626744,1,394,19,1,32,0.23034283210235118,160,54.415826439453994,2023-01-02 07:00:00,112,0.6338015004922546
User_33,1.260206371941118,22,67,48,26,160,0.6618345851139982,0,455,11,0,21,0.5610068364149208,216,28.483136622098677,2023-01-02 08:00:00,542,0.4350833269968387
User_34,4.7955421490133325,7,81,41,22,118,0.633711599765529,1,263,2,0,47,0.1344901064955023,264,76.3504909524844,2023-01-02 09:00:00,825,0.3520478850549008
